Alfreds Futterkiste,Obere Str. 57,Berlin,,12209,Germany
Ana Trujillo Emparedados y helados,Avda. de la Constitución 2222,México D.F.,,05021,Mexico
Antonio Moreno Taquería,Mataderos  2312,México D.F.,,05023,Mexico
Around the Horn,120 Hanover Sq.,London,,WA1 1DP,UK
Aux joyeux ecclésiastiques,"203, Rue des Francs-Bourgeois",Paris,,75004,France
B's Beverages,Fauntleroy Circus,London,,EC2 5NT,UK
Berglunds snabbköp,Berguvsvägen  8,Luleå,,S-958 22,Sweden
Bigfoot Breweries,3400 - 8th Avenue Suite 210,Bend,OR,97101,USA
Blauer See Delikatessen,Forsterstr. 57,Mannheim,,68306,Germany
Blondesddsl père et fils,"24, place Kléber",Strasbourg,,67000,France
Bon app',"12, rue des Bouchers",Marseille,,13008,France
Bottom-Dollar Markets,23 Tsawassen Blvd.,Tsawassen,BC,T2F 8M4,Canada
Bólido Comidas preparadas,"C/ Araquil, 67",Madrid,,28023,Spain
Cactus Comidas para llevar,Cerrito 333,Buenos Aires,,1010,Argentina
Centro comercial Moctezuma,Sierras de Granada 9993,México D.F.,,05022,Mexico
Chop-suey Chinese,Hauptstr. 29,Bern,,3012,Switzerland
Comércio Mineiro,"Av. dos Lusíadas, 23",Sao Paulo,SP,05432-043,Brazil
Consolidated Holdings,Berkeley Gardens 12  Brewery,London,,WX1 6LT,UK
Cooperativa de Quesos 'Las Cabras',Calle del Rosal 4,Oviedo,Asturias,33007,Spain
Die Wandernde Kuh,Adenauerallee 900,Stuttgart,,70563,Germany
Drachenblut Delikatessen,Walserweg 21,Aachen,,52066,Germany
Du monde entier,"67, rue des Cinquante Otages",Nantes,,44000,France
Eastern Connection,35 King George,London,,WX3 6FW,UK
Ernst Handel,Kirchgasse 6,Graz,,8010,Austria
Escargots Nouveaux,"22, rue H. Voiron",Montceau,,71300,France
Exotic Liquids,49 Gilbert St.,London,,EC1 4SD,UK
FISSA Fabrica Inter. Salchichas S.A.,"C/ Moralzarzal, 86",Madrid,,28034,Spain
Familia Arquibaldo,"Rua Orós, 92",Sao Paulo,SP,05442-030,Brazil
Folies gourmandes,"184, chaussée de Tournai",Lille,,59000,France
Folk och fä HB,Åkergatan 24,Bräcke,,S-844 67,Sweden
Formaggi Fortini s.r.l.,"Viale Dante, 75",Ravenna,,48100,Italy
Forêts d'érables,148 rue Chasseur,Ste-Hyacinthe,Québec,J2S 7S8,Canada
France restauration,"54, rue Royale",Nantes,,44000,France
Franchi S.p.A.,Via Monte Bianco 34,Torino,,10100,Italy
Frankenversand,Berliner Platz 43,München,,80805,Germany
Furia Bacalhau e Frutos do Mar,Jardim das rosas n. 32,Lisboa,,1675,Portugal
"G'day, Mate",170 Prince Edward Parade Hunter's Hill,Sydney,NSW,2042,Australia
GROSELLA-Restaurante,5ª Ave. Los Palos Grandes,Caracas,DF,1081,Venezuela
Gai pâturage,"Bat. B 3, rue des Alpes",Annecy,,74000,France
Galería del gastrónomo,"Rambla de Cataluña, 23",Barcelona,,08022,Spain
Godos Cocina Típica,"C/ Romero, 33",Sevilla,,41101,Spain
Gourmet Lanchonetes,"Av. Brasil, 442",Campinas,SP,04876-786,Brazil
Grandma Kelly's Homestead,707 Oxford Rd.,Ann Arbor,MI,48104,USA
Great Lakes Food Market,2732 Baker Blvd.,Eugene,OR,97403,USA
HILARION-Abastos,Carrera 22 con Ave. Carlos Soublette #8-35,San Cristóbal,Táchira,5022,Venezuela
Hanari Carnes,"Rua do Paço, 67",Rio de Janeiro,RJ,05454-876,Brazil
Heli Süßwaren GmbH & Co. KG,Tiergartenstraße 5,Berlin,,10785,Germany
Hungry Coyote Import Store,City Center Plaza 516 Main St.,Elgin,OR,97827,USA
Hungry Owl All-Night Grocers,8 Johnstown Road,Cork,Co. Cork,,Ireland
Island Trading,Garden House Crowther Way,Cowes,Isle of Wight,PO31 7PJ,UK
Karkki Oy,Valtakatu 12,Lappeenranta,,53120,Finland
Königlich Essen,Maubelstr. 90,Brandenburg,,14776,Germany
LILA-Supermercado,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,Lara,3508,Venezuela
LINO-Delicateses,Ave. 5 de Mayo Porlamar,I. de Margarita,Nueva Esparta,4980,Venezuela
La corne d'abondance,"67, avenue de l'Europe",Versailles,,78000,France
La maison d'Asie,1 rue Alsace-Lorraine,Toulouse,,31000,France
Laughing Bacchus Wine Cellars,1900 Oak St.,Vancouver,BC,V3F 2K1,Canada
Lazy K Kountry Store,12 Orchestra Terrace,Walla Walla,WA,99362,USA
Lehmanns Marktstand,Magazinweg 7,Frankfurt a.M.,,60528,Germany
Leka Trading,"471 Serangoon Loop, Suite #402",Singapore,,0512,Singapore
Let's Stop N Shop,87 Polk St. Suite 5,San Francisco,CA,94117,USA
Lonesome Pine Restaurant,89 Chiaroscuro Rd.,Portland,OR,97219,USA
Lyngbysild,Lyngbysild Fiskebakken 10,Lyngby,,2800,Denmark
Ma Maison,2960 Rue St. Laurent,Montréal,Québec,H1J 1C3,Canada
Magazzini Alimentari Riuniti,Via Ludovico il Moro 22,Bergamo,,24100,Italy
Maison Dewey,Rue Joseph-Bens 532,Bruxelles,,B-1180,Belgium
Mayumi's,92 Setsuko Chuo-ku,Osaka,,545,Japan
Morgenstern Gesundkost,Heerstr. 22,Leipzig,,04179,Germany
Mère Paillarde,43 rue St. Laurent,Montréal,Québec,H1J 1C3,Canada
New England Seafood Cannery,Order Processing Dept. 2100 Paul Revere Blvd.,Boston,MA,02134,USA
New Orleans Cajun Delights,P.O. Box 78934,New Orleans,LA,70117,USA
Nord-Ost-Fisch Handelsgesellschaft mbH,Frahmredder 112a,Cuxhaven,,27478,Germany
Norske Meierier,Hatlevegen 5,Sandvika,,1320,Norway
North/South,South House 300 Queensbridge,London,,SW7 1RZ,UK
Océano Atlántico Ltda.,Ing. Gustavo Moncada 8585 Piso 20-A,Buenos Aires,,1010,Argentina
Old World Delicatessen,2743 Bering St.,Anchorage,AK,99508,USA
Ottilies Käseladen,Mehrheimerstr. 369,Köln,,50739,Germany
PB Knäckebröd AB,Kaloadagatan 13,Göteborg,,S-345 67,Sweden
Paris spécialités,"265, boulevard Charonne",Paris,,75012,France
Pasta Buttini s.r.l.,"Via dei Gelsomini, 153",Salerno,,84100,Italy
"Pavlova, Ltd.",74 Rose St. Moonie Ponds,Melbourne,Victoria,3058,Australia
Pericles Comidas clásicas,Calle Dr. Jorge Cash 321,México D.F.,,05033,Mexico
Piccolo und mehr,Geislweg 14,Salzburg,,5020,Austria
Plutzer Lebensmittelgroßmärkte AG,Bogenallee 51,Frankfurt,,60439,Germany
Princesa Isabel Vinhos,Estrada da saúde n. 58,Lisboa,,1756,Portugal
QUICK-Stop,Taucherstraße 10,Cunewalde,,01307,Germany
Que Delícia,"Rua da Panificadora, 12",Rio de Janeiro,RJ,02389-673,Brazil
Queen Cozinha,"Alameda dos Canàrios, 891",Sao Paulo,SP,05487-020,Brazil
Rancho grande,Av. del Libertador 900,Buenos Aires,,1010,Argentina
Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,USA
Refrescos Americanas LTDA,Av. das Americanas 12.890,Sao Paulo,,5442,Brazil
Reggiani Caseifici,Strada Provinciale 124,Reggio Emilia,,42100,Italy
Ricardo Adocicados,"Av. Copacabana, 267",Rio de Janeiro,RJ,02389-890,Brazil
Richter Supermarkt,Grenzacherweg 237,Genève,,1203,Switzerland
Romero y tomillo,"Gran Vía, 1",Madrid,,28001,Spain
Santé Gourmet,Erling Skakkes gate 78,Stavern,,4110,Norway
Save-a-lot Markets,187 Suffolk Ln.,Boise,ID,83720,USA
Seven Seas Imports,90 Wadhurst Rd.,London,,OX15 4NB,UK
Simons bistro,Vinbæltet 34,Kobenhavn,,1734,Denmark
"Specialty Biscuits, Ltd.",29 King's Way,Manchester,,M14 GSD,UK
Split Rail Beer & Ale,P.O. Box 555,Lander,WY,82520,USA
Spécialités du monde,"25, rue Lauriston",Paris,,75016,France
Suprêmes délices,"Boulevard Tirou, 255",Charleroi,,B-6000,Belgium
Svensk Sjöföda AB,Brovallavägen 231,Stockholm,,S-123 45,Sweden
The Big Cheese,89 Jefferson Way Suite 2,Portland,OR,97201,USA
The Cracker Box,55 Grizzly Peak Rd.,Butte,MT,59801,USA
Tokyo Traders,9-8 Sekimai Musashino-shi,Tokyo,,100,Japan
Toms Spezialitäten,Luisenstr. 48,Münster,,44087,Germany
Tortuga Restaurante,Avda. Azteca 123,México D.F.,,05033,Mexico
Tradição Hipermercados,"Av. Inês de Castro, 414",Sao Paulo,SP,05634-030,Brazil
Trail's Head Gourmet Provisioners,722 DaVinci Blvd.,Kirkland,WA,98034,USA
Vaffeljernet,Smagsloget 45,Århus,,8200,Denmark
Victuailles en stock,"2, rue du Commerce",Lyon,,69004,France
Vins et alcools Chevalier,59 rue de l'Abbaye,Reims,,51100,France
Wartian Herkku,Torikatu 38,Oulu,,90110,Finland
Wellington Importadora,"Rua do Mercado, 12",Resende,SP,08737-363,Brazil
White Clover Markets,305 - 14th Ave. S. Suite 3B,Seattle,WA,98128,USA
Wilman Kala,Keskuskatu 45,Helsinki,,21240,Finland
Wolski  Zajazd,ul. Filtrowa 68,Warszawa,,01-012,Poland
Zaanse Snoepfabriek,Verkoop Rijnweg 22,Zaandam,,9999 ZZ,Netherlands
