Save-a-lot Markets,4958
Ernst Handel,4543
QUICK-Stop,3961
Hungry Owl All-Night Grocers,1684
Frankenversand,1525
Rattlesnake Canyon Grocery,1383
Folk och fä HB,1234
HILARION-Abastos,1096
Suprêmes délices,1072
White Clover Markets,1063
Queen Cozinha,1031
Berglunds snabbköp,1001
Bon app',980
LINO-Delicateses,970
Mère Paillarde,966
Bottom-Dollar Markets,956
Königlich Essen,903
Hanari Carnes,839
LILA-Supermercado,836
Seven Seas Imports,818
Richter Supermarkt,810
Lehmanns Marktstand,794
Vaffeljernet,792
Wartian Herkku,737
Blondesddsl père et fils,666
Ricardo Adocicados,660
Around the Horn,650
Ottilies Käseladen,639
Piccolo und mehr,624
Old World Delicatessen,603
Eastern Connection,569
